S0,K,C_mkt,T,iv
672.88,720.0,52.0,0.0365,0.2521
672.88,725.0,52.56,0.0365,0.2708
672.88,730.0,61.36,0.0365,0.3331
672.88,735.0,51.72,0.0365,0.3307
672.88,740.0,61.98,0.0365,0.349
672.88,750.0,92.37,0.0365,0.8295
672.88,755.0,84.16,0.0365,0.402
672.88,770.0,91.1,0.0365,0.4446
672.88,780.0,121.11,0.0365,0.7029
672.88,790.0,111.08,0.0365,0.5076
672.88,525.0,0.3,0.0557,0.4517
672.88,530.0,0.33,0.0557,0.4404
672.88,535.0,0.31,0.0557,0.4307
672.88,540.0,0.45,0.0557,0.4172
672.88,545.0,0.52,0.0557,0.4067
672.88,550.0,0.52,0.0557,0.3987
672.88,555.0,0.7,0.0557,0.3857
672.88,560.0,0.56,0.0557,0.3753
672.88,565.0,0.76,0.0557,0.363
672.88,570.0,0.57,0.0557,0.3518
672.88,575.0,0.71,0.0557,0.3408
672.88,580.0,0.69,0.0557,0.3296
672.88,585.0,0.82,0.0557,0.3185
672.88,590.0,0.86,0.0557,0.3076
672.88,595.0,1.04,0.0557,0.2969
672.88,600.0,0.99,0.0557,0.2859
672.88,605.0,1.17,0.0557,0.2764
672.88,610.0,1.39,0.0557,0.2659
672.88,615.0,1.62,0.0557,0.2561
672.88,620.0,1.55,0.0557,0.2471
672.88,625.0,1.85,0.0557,0.237
672.88,630.0,2.15,0.0557,0.2283
672.88,635.0,2.54,0.0557,0.2197
672.88,640.0,3.17,0.0557,0.2109
672.88,641.0,3.72,0.0557,0.2093
672.88,642.0,3.48,0.0557,0.2071
672.88,643.0,3.66,0.0557,0.206
672.88,644.0,4.73,0.0557,0.2033
672.88,645.0,3.53,0.0557,0.202
672.88,646.0,4.07,0.0557,0.2009
672.88,647.0,3.98,0.0557,0.1993
672.88,648.0,5.32,0.0557,0.1969
672.88,649.0,4.84,0.0557,0.1951
672.88,650.0,4.38,0.0557,0.1941
672.88,651.0,5.13,0.0557,0.192
672.88,652.0,4.54,0.0557,0.1904
672.88,653.0,5.26,0.0557,0.1886
672.88,654.0,5.34,0.0557,0.1871
672.88,655.0,5.17,0.0557,0.1854
672.88,656.0,5.73,0.0557,0.1831
672.88,657.0,6.67,0.0557,0.1822
672.88,658.0,5.67,0.0557,0.1801
672.88,659.0,7.45,0.0557,0.178
672.88,660.0,6.24,0.0557,0.1768
672.88,661.0,6.52,0.0557,0.1754
672.88,662.0,6.93,0.0557,0.1729
672.88,663.0,6.96,0.0557,0.1713
672.88,664.0,7.98,0.0557,0.1702
672.88,665.0,7.47,0.0557,0.1673
672.88,666.0,7.8,0.0557,0.1659
672.88,667.0,8.21,0.0557,0.1647
672.88,668.0,8.6,0.0557,0.1632
672.88,669.0,8.8,0.0557,0.1617
672.88,670.0,9.16,0.0557,0.159
672.88,671.0,9.24,0.0557,0.158
672.88,672.0,9.79,0.0557,0.1561
672.88,673.0,10.24,0.0557,0.1545
672.88,674.0,13.3,0.0557,0.1527
672.88,675.0,11.12,0.0557,0.1512
672.88,676.0,12.59,0.0557,0.1495
672.88,677.0,14.86,0.0557,0.1477
672.88,678.0,13.33,0.0557,0.1456
672.88,679.0,18.52,0.0557,0.1443
672.88,680.0,13.2,0.0557,0.1443
672.88,681.0,17.44,0.0557,0.1419
672.88,682.0,16.32,0.0557,0.1397
672.88,683.0,16.13,0.0557,0.139
672.88,684.0,18.87,0.0557,0.1377
672.88,685.0,17.35,0.0557,0.1349
672.88,686.0,16.9,0.0557,0.1337
672.88,687.0,20.95,0.0557,0.1338
672.88,688.0,18.5,0.0557,0.134
672.88,689.0,22.3,0.0557,0.1304
672.88,690.0,23.86,0.0557,0.1295
672.88,691.0,25.74,0.0557,0.127
672.88,692.0,21.19,0.0557,0.1283
672.88,693.0,14.91,0.0557,0.1309
672.88,694.0,22.55,0.0557,0.1278
672.88,695.0,26.14,0.0557,0.1271
672.88,696.0,27.4,0.0557,0.1279
672.88,697.0,28.61,0.0557,0.1282
672.88,698.0,21.18,0.0557,0.1298
672.88,699.0,21.28,0.0557,0.1291
672.88,700.0,28.3,0.0557,0.1296
672.88,701.0,30.23,0.0557,0.1286
672.88,702.0,33.65,0.0557,0.1343
672.88,703.0,41.5,0.0557,0.1396
672.88,704.0,40.98,0.0557,0.1361
672.88,705.0,36.23,0.0557,0.137
672.88,706.0,24.54,0.0557,0.1392
672.88,708.0,21.9,0.0557,0.1831
672.88,710.0,30.14,0.0557,0.1897
672.88,715.0,39.71,0.0557,0.2051
672.88,720.0,48.99,0.0557,0.2231
672.88,725.0,54.15,0.0557,0.2355
672.88,730.0,46.96,0.0557,0.2545
672.88,750.0,67.52,0.0557,0.3289
672.88,755.0,84.14,0.0557,0.3435
672.88,770.0,84.57,0.0557,0.3733
672.88,525.0,0.48,0.0748,0.4214
672.88,530.0,0.6,0.0748,0.4124
672.88,535.0,0.59,0.0748,0.4019
672.88,540.0,0.59,0.0748,0.3921
672.88,545.0,0.68,0.0748,0.381
672.88,550.0,0.7,0.0748,0.3716
672.88,555.0,0.85,0.0748,0.3618
672.88,560.0,0.8,0.0748,0.3516
672.88,565.0,0.96,0.0748,0.3411
672.88,570.0,1.1,0.0748,0.3309
672.88,575.0,0.96,0.0748,0.3217
672.88,580.0,1.24,0.0748,0.3118
672.88,585.0,1.39,0.0748,0.3026
672.88,590.0,1.5,0.0748,0.2932
672.88,595.0,1.45,0.0748,0.2837
672.88,600.0,1.49,0.0748,0.2755
672.88,605.0,1.79,0.0748,0.2661
672.88,610.0,2.16,0.0748,0.2586
672.88,615.0,2.47,0.0748,0.2496
672.88,620.0,2.5,0.0748,0.2407
672.88,625.0,3.0,0.0748,0.2335
672.88,630.0,3.21,0.0748,0.2252
672.88,635.0,4.15,0.0748,0.2177
672.88,640.0,4.26,0.0748,0.2095
672.88,645.0,5.06,0.0748,0.202
672.88,650.0,5.68,0.0748,0.1934
672.88,655.0,7.48,0.0748,0.1861
672.88,656.0,8.68,0.0748,0.1846
672.88,657.0,8.71,0.0748,0.1823
672.88,658.0,8.85,0.0748,0.181
672.88,659.0,8.37,0.0748,0.1793
672.88,660.0,7.77,0.0748,0.1774
672.88,661.0,9.22,0.0748,0.1756
672.88,662.0,8.86,0.0748,0.1741
672.88,663.0,10.7,0.0748,0.1728
672.88,664.0,9.67,0.0748,0.1711
672.88,665.0,9.72,0.0748,0.1693
672.88,666.0,10.74,0.0748,0.168
672.88,667.0,10.94,0.0748,0.1662
672.88,668.0,10.69,0.0748,0.1647
672.88,669.0,11.05,0.0748,0.1627
672.88,670.0,10.77,0.0748,0.1612
672.88,671.0,12.29,0.0748,0.1591
672.88,672.0,12.18,0.0748,0.1578
672.88,673.0,13.95,0.0748,0.1563
672.88,674.0,12.96,0.0748,0.1551
672.88,675.0,12.62,0.0748,0.1533
672.88,676.0,15.63,0.0748,0.1521
672.88,677.0,14.5,0.0748,0.1504
672.88,678.0,15.01,0.0748,0.1485
672.88,679.0,15.43,0.0748,0.1468
672.88,680.0,15.8,0.0748,0.1457
672.88,681.0,20.1,0.0748,0.1448
672.88,682.0,19.45,0.0748,0.144
672.88,683.0,19.96,0.0748,0.1426
672.88,684.0,17.48,0.0748,0.1416
672.88,685.0,20.5,0.0748,0.1382
672.88,686.0,24.32,0.0748,0.1365
672.88,687.0,18.6,0.0748,0.1386
672.88,688.0,19.52,0.0748,0.1352
672.88,689.0,21.21,0.0748,0.1347
672.88,690.0,28.5,0.0748,0.1306
672.88,691.0,22.47,0.0748,0.1322
672.88,692.0,23.21,0.0748,0.1311
672.88,693.0,24.39,0.0748,0.1306
672.88,694.0,19.25,0.0748,0.1303
672.88,695.0,25.03,0.0748,0.1293
672.88,698.0,30.3,0.0748,0.1308
672.88,700.0,37.01,0.0748,0.1252
672.88,705.0,22.73,0.0748,0.1285
672.88,706.0,31.0,0.0748,0.1368
672.88,710.0,30.02,0.0748,0.1665
672.88,715.0,36.3,0.0748,0.1818
672.88,725.0,54.15,0.0748,0.2077
672.88,730.0,58.45,0.0748,0.2225
672.88,735.0,63.72,0.0748,0.2377
672.88,740.0,54.56,0.0748,0.2509
672.88,770.0,90.84,0.0748,0.3252
672.88,790.0,119.13,0.0748,0.3711
672.88,525.0,0.75,0.094,0.3975
672.88,530.0,0.79,0.094,0.3881
672.88,535.0,0.77,0.094,0.3784
672.88,540.0,0.79,0.094,0.3694
672.88,545.0,0.92,0.094,0.3607
672.88,550.0,0.9,0.094,0.3518
672.88,555.0,1.03,0.094,0.3418
672.88,560.0,1.03,0.094,0.3346
672.88,565.0,1.3,0.094,0.324
672.88,570.0,1.21,0.094,0.3163
672.88,575.0,1.42,0.094,0.3071
672.88,580.0,1.54,0.094,0.3002
672.88,585.0,1.55,0.094,0.2916
672.88,590.0,1.85,0.094,0.2836
672.88,595.0,1.92,0.094,0.2756
672.88,600.0,2.13,0.094,0.2682
672.88,601.0,2.21,0.094,0.2662
672.88,602.0,2.25,0.094,0.2648
672.88,603.0,2.3,0.094,0.2639
672.88,604.0,2.45,0.094,0.2618
672.88,605.0,2.5,0.094,0.2599
672.88,606.0,2.56,0.094,0.2592
672.88,607.0,2.61,0.094,0.257
672.88,608.0,2.68,0.094,0.2562
672.88,609.0,2.73,0.094,0.2545
672.88,610.0,2.62,0.094,0.253
672.88,611.0,2.87,0.094,0.2512
672.88,612.0,2.92,0.094,0.2501
672.88,613.0,3.0,0.094,0.2485
672.88,614.0,3.06,0.094,0.2467
672.88,615.0,2.96,0.094,0.2457
672.88,616.0,3.22,0.094,0.2442
672.88,617.0,3.27,0.094,0.2427
672.88,618.0,3.36,0.094,0.2413
672.88,619.0,3.43,0.094,0.2397
672.88,620.0,3.3,0.094,0.2382
672.88,621.0,3.63,0.094,0.2365
672.88,622.0,3.7,0.094,0.2352
672.88,623.0,3.79,0.094,0.2336
672.88,624.0,3.88,0.094,0.2322
672.88,625.0,3.79,0.094,0.2305
672.88,626.0,4.08,0.094,0.2296
672.88,627.0,4.21,0.094,0.2278
672.88,628.0,4.29,0.094,0.2261
672.88,629.0,4.4,0.094,0.2248
672.88,630.0,4.25,0.094,0.2238
672.88,631.0,4.48,0.094,0.2222
672.88,632.0,4.51,0.094,0.2209
672.88,633.0,4.89,0.094,0.2192
672.88,634.0,4.79,0.094,0.2179
672.88,635.0,4.84,0.094,0.2163
672.88,636.0,5.06,0.094,0.2149
672.88,637.0,5.36,0.094,0.2132
672.88,638.0,5.27,0.094,0.2119
672.88,639.0,5.32,0.094,0.2105
672.88,640.0,5.52,0.094,0.209
672.88,641.0,5.68,0.094,0.207
672.88,642.0,5.84,0.094,0.2062
672.88,643.0,6.3,0.094,0.2047
672.88,644.0,6.51,0.094,0.2035
672.88,645.0,6.22,0.094,0.2019
672.88,646.0,6.4,0.094,0.2003
672.88,647.0,7.06,0.094,0.1989
672.88,648.0,6.75,0.094,0.1974
672.88,649.0,7.0,0.094,0.1962
672.88,650.0,7.18,0.094,0.195
672.88,651.0,7.53,0.094,0.1929
672.88,652.0,8.15,0.094,0.1917
672.88,653.0,7.7,0.094,0.1901
672.88,654.0,8.17,0.094,0.1884
672.88,655.0,8.24,0.094,0.1875
672.88,656.0,8.93,0.094,0.1855
672.88,657.0,9.3,0.094,0.1841
672.88,658.0,9.17,0.094,0.1829
672.88,659.0,10.76,0.094,0.1815
672.88,660.0,9.47,0.094,0.18
672.88,661.0,9.72,0.094,0.1783
672.88,662.0,9.97,0.094,0.1775
672.88,663.0,10.28,0.094,0.1754
672.88,664.0,11.36,0.094,0.1737
672.88,665.0,10.75,0.094,0.1723
672.88,666.0,11.16,0.094,0.1712
672.88,667.0,12.1,0.094,0.1694
672.88,668.0,11.8,0.094,0.1684
672.88,669.0,12.22,0.094,0.167
672.88,670.0,12.6,0.094,0.1658
672.88,671.0,12.76,0.094,0.1645
672.88,672.0,13.34,0.094,0.1627
672.88,673.0,13.68,0.094,0.1617
672.88,674.0,15.05,0.094,0.1604
672.88,675.0,14.42,0.094,0.1592
672.88,676.0,14.75,0.094,0.1572
672.88,677.0,16.22,0.094,0.1559
672.88,678.0,16.51,0.094,0.1547
672.88,679.0,17.01,0.094,0.1538
672.88,680.0,16.58,0.094,0.1519
672.88,681.0,19.03,0.094,0.1508
672.88,682.0,17.57,0.094,0.1498
672.88,683.0,19.46,0.094,0.1495
672.88,684.0,19.68,0.094,0.1474
672.88,685.0,19.32,0.094,0.1463
672.88,686.0,24.34,0.094,0.1462
672.88,687.0,23.21,0.094,0.1431
672.88,688.0,24.24,0.094,0.1437
672.88,689.0,28.39,0.094,0.1428
672.88,690.0,24.46,0.094,0.1412
672.88,691.0,27.17,0.094,0.14
672.88,692.0,23.82,0.094,0.1397
672.88,693.0,16.74,0.094,0.1385
672.88,694.0,23.29,0.094,0.1398
672.88,695.0,28.1,0.094,0.137
672.88,696.0,32.37,0.094,0.1353
672.88,697.0,30.4,0.094,0.1362
672.88,698.0,28.82,0.094,0.1364
672.88,699.0,22.69,0.094,0.1328
672.88,700.0,30.74,0.094,0.1323
672.88,701.0,22.0,0.094,0.1338
672.88,702.0,27.68,0.094,0.1318
672.88,703.0,35.15,0.094,0.1343
672.88,704.0,28.2,0.094,0.1294
672.88,705.0,34.34,0.094,0.1233
672.88,706.0,28.16,0.094,0.1556
672.88,707.0,31.25,0.094,0.1542
672.88,708.0,38.0,0.094,0.1565
672.88,709.0,34.0,0.094,0.1572
672.88,710.0,38.14,0.094,0.1575
672.88,711.0,41.55,0.094,0.1605
672.88,712.0,30.9,0.094,0.1607
672.88,713.0,41.0,0.094,0.1527
672.88,714.0,40.0,0.094,0.1647
672.88,715.0,47.2,0.094,0.1647
672.88,716.0,32.94,0.094,0.1671
672.88,717.0,35.0,0.094,0.169
672.88,720.0,36.61,0.094,0.1746
672.88,725.0,37.28,0.094,0.1876
672.88,730.0,58.45,0.094,0.1999
672.88,735.0,63.26,0.094,0.2217
672.88,740.0,66.65,0.094,0.2338
672.88,745.0,65.32,0.094,0.2456
672.88,750.0,78.38,0.094,0.2561
672.88,755.0,69.68,0.094,0.2687
672.88,765.0,208.16,0.094,2.0442
672.88,770.0,87.09,0.094,0.3007
672.88,775.0,90.32,0.094,0.3009
672.88,780.0,178.0,0.094,1.3484
672.88,785.0,267.07,0.094,2.1164
672.88,790.0,113.6,0.094,0.3425
672.88,795.0,275.8,0.094,2.0218
672.88,800.0,130.98,0.094,0.3641
672.88,805.0,136.0,0.094,0.3726
672.88,525.0,0.94,0.1132,0.3738
672.88,535.0,0.96,0.1132,0.3573
672.88,540.0,0.77,0.1132,0.349
672.88,545.0,1.24,0.1132,0.3399
672.88,550.0,1.28,0.1132,0.3321
672.88,555.0,1.18,0.1132,0.3246
672.88,560.0,1.24,0.1132,0.3151
672.88,565.0,1.35,0.1132,0.3077
672.88,570.0,1.5,0.1132,0.2998
672.88,575.0,1.55,0.1132,0.2924
672.88,580.0,2.05,0.1132,0.285
672.88,585.0,2.25,0.1132,0.2775
672.88,590.0,2.43,0.1132,0.2707
672.88,595.0,2.82,0.1132,0.2631
672.88,600.0,2.65,0.1132,0.2557
672.88,605.0,2.98,0.1132,0.2492
672.88,610.0,3.1,0.1132,0.2419
672.88,615.0,3.75,0.1132,0.2358
672.88,620.0,4.37,0.1132,0.2286
672.88,625.0,4.86,0.1132,0.2217
672.88,630.0,5.25,0.1132,0.2148
672.88,635.0,5.76,0.1132,0.2084
672.88,640.0,6.93,0.1132,0.2016
672.88,645.0,7.99,0.1132,0.1947
672.88,650.0,8.68,0.1132,0.1881
672.88,655.0,9.17,0.1132,0.1815
672.88,656.0,9.42,0.1132,0.1799
672.88,657.0,10.21,0.1132,0.1782
672.88,659.0,11.75,0.1132,0.1759
672.88,660.0,10.29,0.1132,0.1737
672.88,661.0,12.94,0.1132,0.1731
672.88,662.0,13.92,0.1132,0.1714
672.88,663.0,11.1,0.1132,0.1701
672.88,664.0,12.66,0.1132,0.169
672.88,665.0,12.86,0.1132,0.1674
672.88,666.0,12.9,0.1132,0.1656
672.88,667.0,14.99,0.1132,0.165
672.88,668.0,13.42,0.1132,0.1636
672.88,669.0,15.6,0.1132,0.1622
672.88,670.0,13.4,0.1132,0.1613
672.88,671.0,15.99,0.1132,0.1591
672.88,672.0,14.01,0.1132,0.1578
672.88,673.0,16.06,0.1132,0.1571
672.88,674.0,16.34,0.1132,0.1561
672.88,675.0,16.39,0.1132,0.1547
672.88,676.0,16.43,0.1132,0.1537
672.88,677.0,18.65,0.1132,0.1521
672.88,678.0,19.03,0.1132,0.1499
672.88,679.0,18.38,0.1132,0.1497
672.88,680.0,20.84,0.1132,0.1498
672.88,681.0,19.02,0.1132,0.1514
672.88,685.0,23.39,0.1132,0.1466
672.88,690.0,19.95,0.1132,0.1404
672.88,715.0,41.98,0.1132,0.1527
672.88,525.0,0.95,0.1269,0.3624
672.88,530.0,1.01,0.1269,0.3546
672.88,535.0,1.15,0.1269,0.3472
672.88,536.0,1.36,0.1269,0.3447
672.88,537.0,1.36,0.1269,0.3429
672.88,538.0,1.01,0.1269,0.3423
672.88,539.0,0.79,0.1269,0.3405
672.88,540.0,1.24,0.1269,0.3388
672.88,541.0,0.84,0.1269,0.3369
672.88,542.0,1.28,0.1269,0.3356
672.88,543.0,1.53,0.1269,0.3333
672.88,544.0,1.13,0.1269,0.3325
672.88,545.0,1.2,0.1269,0.3306
672.88,546.0,0.89,0.1269,0.3292
672.88,547.0,1.01,0.1269,0.3279
672.88,548.0,1.02,0.1269,0.3265
672.88,549.0,1.27,0.1269,0.3246
672.88,550.0,1.27,0.1269,0.3228
672.88,551.0,0.84,0.1269,0.3213
672.88,552.0,1.1,0.1269,0.3198
672.88,553.0,1.77,0.1269,0.3184
672.88,554.0,1.0,0.1269,0.3165
672.88,555.0,1.38,0.1269,0.3159
672.88,556.0,1.52,0.1269,0.314
672.88,557.0,1.42,0.1269,0.3124
672.88,558.0,1.46,0.1269,0.3109
672.88,559.0,1.44,0.1269,0.3093
672.88,560.0,1.56,0.1269,0.3078
672.88,561.0,1.51,0.1269,0.3058
672.88,562.0,1.2,0.1269,0.3046
672.88,563.0,0.99,0.1269,0.303
672.88,564.0,1.16,0.1269,0.3023
672.88,565.0,1.84,0.1269,0.3002
672.88,566.0,1.86,0.1269,0.2993
672.88,567.0,1.72,0.1269,0.2976
672.88,568.0,1.38,0.1269,0.2963
672.88,569.0,1.77,0.1269,0.2946
672.88,570.0,1.87,0.1269,0.2933
672.88,571.0,1.99,0.1269,0.2915
672.88,572.0,1.49,0.1269,0.2905
672.88,573.0,1.83,0.1269,0.2888
672.88,574.0,2.07,0.1269,0.2873
672.88,575.0,1.9,0.1269,0.2859
672.88,576.0,2.29,0.1269,0.2847
672.88,577.0,2.02,0.1269,0.2829
672.88,578.0,1.93,0.1269,0.2817
672.88,579.0,2.01,0.1269,0.2802
672.88,580.0,2.54,0.1269,0.279
672.88,581.0,2.55,0.1269,0.2771
672.88,582.0,2.16,0.1269,0.2758
672.88,583.0,2.49,0.1269,0.2748
672.88,584.0,2.51,0.1269,0.2732
672.88,585.0,2.29,0.1269,0.2724
672.88,586.0,2.88,0.1269,0.271
672.88,587.0,2.03,0.1269,0.2691
672.88,588.0,2.26,0.1269,0.2676
672.88,589.0,2.95,0.1269,0.2664
672.88,590.0,2.36,0.1269,0.265
672.88,591.0,3.46,0.1269,0.264
672.88,592.0,2.97,0.1269,0.2627
672.88,593.0,2.78,0.1269,0.2614
672.88,594.0,2.47,0.1269,0.2596
672.88,595.0,3.05,0.1269,0.2582
672.88,596.0,2.68,0.1269,0.2571
672.88,597.0,3.4,0.1269,0.2559
672.88,598.0,2.85,0.1269,0.254
672.88,599.0,3.38,0.1269,0.253
672.88,600.0,2.86,0.1269,0.2515
672.88,601.0,3.81,0.1269,0.2505
672.88,602.0,3.05,0.1269,0.2492
672.88,603.0,3.65,0.1269,0.2476
672.88,604.0,3.75,0.1269,0.2466
672.88,605.0,3.33,0.1269,0.2454
672.88,606.0,3.49,0.1269,0.2438
672.88,607.0,4.47,0.1269,0.2427
672.88,608.0,3.51,0.1269,0.2408
672.88,609.0,3.63,0.1269,0.2401
672.88,610.0,3.51,0.1269,0.2385
672.88,611.0,3.86,0.1269,0.2373
672.88,612.0,3.9,0.1269,0.2362
672.88,613.0,4.48,0.1269,0.2341
672.88,614.0,4.02,0.1269,0.2328
672.88,615.0,4.85,0.1269,0.2321
672.88,616.0,4.6,0.1269,0.2305
672.88,617.0,3.5,0.1269,0.2294
672.88,618.0,5.02,0.1269,0.2274
672.88,619.0,4.3,0.1269,0.2268
672.88,620.0,4.37,0.1269,0.2253
672.88,621.0,5.87,0.1269,0.224
672.88,622.0,4.94,0.1269,0.2228
672.88,623.0,5.6,0.1269,0.2216
672.88,624.0,5.25,0.1269,0.2201
672.88,625.0,5.35,0.1269,0.2188
672.88,626.0,5.85,0.1269,0.2169
672.88,627.0,5.36,0.1269,0.2162
672.88,628.0,6.18,0.1269,0.215
672.88,629.0,6.6,0.1269,0.2138
672.88,630.0,5.45,0.1269,0.2123
672.88,631.0,6.48,0.1269,0.2114
672.88,632.0,7.02,0.1269,0.2097
672.88,633.0,7.55,0.1269,0.2085
672.88,634.0,6.89,0.1269,0.207
672.88,635.0,7.15,0.1269,0.2053
672.88,636.0,7.71,0.1269,0.2047
672.88,637.0,7.44,0.1269,0.2029
672.88,638.0,6.68,0.1269,0.2018
672.88,639.0,7.77,0.1269,0.2006
672.88,640.0,6.99,0.1269,0.1995
672.88,641.0,9.54,0.1269,0.198
672.88,642.0,6.55,0.1269,0.1969
672.88,643.0,9.41,0.1269,0.1954
672.88,644.0,8.99,0.1269,0.1939
672.88,645.0,8.11,0.1269,0.1923
672.88,646.0,8.41,0.1269,0.191
672.88,647.0,9.56,0.1269,0.19
672.88,648.0,9.18,0.1269,0.1885
672.88,649.0,8.33,0.1269,0.1876
672.88,650.0,8.52,0.1269,0.1862
672.88,651.0,11.57,0.1269,0.1852
672.88,652.0,10.94,0.1269,0.1837
672.88,653.0,12.31,0.1269,0.1817
672.88,654.0,11.25,0.1269,0.1809
672.88,655.0,10.49,0.1269,0.1795
672.88,656.0,12.13,0.1269,0.1783
672.88,657.0,14.28,0.1269,0.1769
672.88,658.0,12.33,0.1269,0.175
672.88,659.0,13.01,0.1269,0.1744
672.88,660.0,11.05,0.1269,0.1731
672.88,661.0,13.0,0.1269,0.1716
672.88,662.0,13.55,0.1269,0.1702
672.88,663.0,13.05,0.1269,0.1691
672.88,664.0,12.5,0.1269,0.1674
672.88,665.0,13.5,0.1269,0.1665
672.88,666.0,13.4,0.1269,0.1653
672.88,667.0,13.81,0.1269,0.1642
672.88,668.0,13.7,0.1269,0.1625
672.88,669.0,14.5,0.1269,0.1617
672.88,670.0,13.98,0.1269,0.1597
672.88,671.0,14.8,0.1269,0.159
672.88,672.0,15.53,0.1269,0.1577
672.88,673.0,17.28,0.1269,0.1558
672.88,674.0,16.0,0.1269,0.1553
672.88,675.0,16.0,0.1269,0.1542
672.88,676.0,17.26,0.1269,0.1528
672.88,677.0,19.25,0.1269,0.1513
672.88,678.0,18.51,0.1269,0.1504
672.88,679.0,20.9,0.1269,0.149
672.88,680.0,18.29,0.1269,0.1481
672.88,681.0,18.92,0.1269,0.1516
672.88,682.0,21.98,0.1269,0.1502
672.88,683.0,22.53,0.1269,0.1483
672.88,684.0,20.72,0.1269,0.1482
672.88,685.0,22.84,0.1269,0.1454
672.88,686.0,20.92,0.1269,0.1473
672.88,687.0,19.94,0.1269,0.1446
672.88,688.0,27.0,0.1269,0.1443
672.88,689.0,19.75,0.1269,0.1431
672.88,690.0,29.63,0.1269,0.1417
672.88,691.0,16.69,0.1269,0.1426
672.88,692.0,17.56,0.1269,0.1413
672.88,693.0,20.21,0.1269,0.1407
672.88,694.0,18.83,0.1269,0.1412
672.88,695.0,33.12,0.1269,0.1391
672.88,696.0,21.64,0.1269,0.1402
672.88,697.0,19.1,0.1269,0.1388
672.88,698.0,27.6,0.1269,0.1382
672.88,699.0,25.79,0.1269,0.1381
672.88,700.0,32.9,0.1269,0.1337
672.88,701.0,37.37,0.1269,0.1361
672.88,702.0,38.66,0.1269,0.1391
672.88,703.0,24.81,0.1269,0.1385
672.88,704.0,27.75,0.1269,0.1401
672.88,705.0,25.6,0.1269,0.1341
672.88,707.0,34.74,0.1269,0.139
672.88,708.0,26.95,0.1269,0.1498
672.88,709.0,28.36,0.1269,0.1526
672.88,710.0,38.69,0.1269,0.1523
672.88,715.0,42.98,0.1269,0.1523
672.88,720.0,48.79,0.1269,0.1588
672.88,725.0,56.74,0.1269,0.1697
672.88,730.0,61.1,0.1269,0.1809
672.88,735.0,65.13,0.1269,0.1933
672.88,740.0,152.41,0.1269,1.0526
672.88,750.0,82.0,0.1269,0.224
672.88,755.0,161.2,0.1269,0.7769
672.88,775.0,109.62,0.1269,0.2699
672.88,780.0,116.7,0.1269,0.0
672.88,525.0,1.64,0.1707,0.3414
672.88,530.0,1.5,0.1707,0.3348
672.88,535.0,1.83,0.1707,0.3272
672.88,540.0,1.77,0.1707,0.3204
672.88,545.0,2.17,0.1707,0.3135
672.88,550.0,1.94,0.1707,0.3065
672.88,555.0,2.09,0.1707,0.3002
672.88,560.0,2.46,0.1707,0.2935
672.88,565.0,2.81,0.1707,0.2871
672.88,570.0,2.84,0.1707,0.2805
672.88,575.0,2.84,0.1707,0.2744
672.88,580.0,3.07,0.1707,0.2682
672.88,585.0,3.34,0.1707,0.2616
672.88,590.0,3.58,0.1707,0.2558
672.88,595.0,3.88,0.1707,0.2496
672.88,600.0,4.22,0.1707,0.2436
672.88,605.0,4.83,0.1707,0.2374
672.88,610.0,5.3,0.1707,0.2311
672.88,615.0,5.59,0.1707,0.2254
672.88,620.0,6.0,0.1707,0.2193
672.88,625.0,6.9,0.1707,0.2131
672.88,630.0,7.25,0.1707,0.2074
672.88,635.0,8.4,0.1707,0.2011
672.88,640.0,8.91,0.1707,0.1951
672.88,645.0,10.17,0.1707,0.1894
672.88,650.0,10.8,0.1707,0.1825
672.88,655.0,11.83,0.1707,0.1766
672.88,660.0,13.17,0.1707,0.1706
672.88,665.0,14.62,0.1707,0.1647
672.88,670.0,16.37,0.1707,0.1588
672.88,675.0,18.25,0.1707,0.1528
672.88,680.0,20.45,0.1707,0.1476
672.88,685.0,22.8,0.1707,0.1428
672.88,690.0,26.66,0.1707,0.1378
672.88,695.0,28.5,0.1707,0.1328
672.88,700.0,34.04,0.1707,0.1296
672.88,705.0,40.35,0.1707,0.1251
672.88,710.0,40.83,0.1707,0.1233
672.88,715.0,43.85,0.1707,0.14
672.88,720.0,54.77,0.1707,0.1416
672.88,725.0,53.3,0.1707,0.1425
672.88,730.0,63.2,0.1707,0.1517
672.88,735.0,64.26,0.1707,0.1582
672.88,740.0,57.0,0.1707,0.1679
672.88,745.0,59.85,0.1707,0.1736
672.88,750.0,81.74,0.1707,0.1894
672.88,755.0,76.13,0.1707,0.1903
672.88,775.0,261.7,0.1707,1.8749
672.88,780.0,278.97,0.1707,1.635
672.88,800.0,133.41,0.1707,0.2647
672.88,525.0,2.22,0.2091,0.3278
672.88,530.0,2.16,0.2091,0.3215
672.88,535.0,2.36,0.2091,0.3149
672.88,540.0,2.58,0.2091,0.3085
672.88,545.0,3.05,0.2091,0.3023
672.88,550.0,2.69,0.2091,0.2964
672.88,555.0,2.95,0.2091,0.2904
672.88,560.0,3.33,0.2091,0.2842
672.88,565.0,3.57,0.2091,0.2782
672.88,570.0,3.94,0.2091,0.2729
672.88,572.0,3.83,0.2091,0.2701
672.88,573.0,2.75,0.2091,0.269
672.88,574.0,4.71,0.2091,0.2678
672.88,575.0,4.5,0.2091,0.2665
672.88,576.0,2.87,0.2091,0.2659
672.88,577.0,3.7,0.2091,0.2643
